Azimuth,Elevation, 0th%,10th%,20th,30th,40th,50th%,60th,70th,80th,90th%,100th%,Mean,nSR
-180,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-178,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-176,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-174,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-172,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-170,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-168,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-166,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-164,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-162,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-160,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-158,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-156,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-154,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-152,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-150,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-148,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-146,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-144,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-142,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-140,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-138,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-136,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-134,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-132,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-130,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-128,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-126,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-124,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-122,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-120,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-118,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-116,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-114,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-112,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-110,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-108,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-106,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-104,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-102,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-100,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-98,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-96,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-94,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-92,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-90,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-88,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-86,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-84,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-82,0,9.25,13,14.5,15.5,16.25,16.75,17.25,17.75,18.25,19.25,21,17.03,240
-80,0,12.75,16.5,17.75,18.25,18.75,19.25,20,20.75,21.5,23.5,26,20.42,240
-78,0,12.75,16.75,18.25,18.5,19,19.75,20.5,21.25,22.25,24.25,27,21.03,240
-76,0,13.25,17.5,18.5,19,19.75,20.5,21.25,22,23.25,25,28.25,21.75,240
-74,0,13.75,18.5,19,19.75,20.25,21.25,22,23,24.25,26,29.75,22.71,240
-72,0,14.5,19,19.75,20.5,21,22.25,23,24,25.25,27.25,31.5,23.89,240
